name,price,distance,hour,source
Lyft,10.5,3.2,8,North Station
Lyft,7.0,0.52,0,South Station
UberX,11.0,1.35,10,Beacon Hill
UberX,7.5,0.92,17,North End
UberX,11.0,3.08,14,West End
UberX,8.0,1.21,17,Financial District
UberX,10.5,2.62,6,Theatre District
Lyft,7.0,0.43,11,Financial District
Lyft,9.0,2.67,21,Boston University
Lyft,9.0,1.5,22,Back Bay
UberX,9.5,1.52,1,Beacon Hill
UberX,11.0,3.05,7,North Station
Lyft,13.5,5.33,22,Financial District
Lyft,13.5,4.5,17,Boston University
Lyft,10.5,0.46,17,Financial District
UberX,11.5,2.62,23,Theatre District
Lyft,10.5,3.05,5,West End
UberX,10.5,2.61,16,Northeastern University
Lyft,11.0,2.91,15,North End
Lyft,7.0,1.14,13,North Station
UberX,8.0,1.57,11,Theatre District
Lyft,11.0,3.22,0,North Station
Lyft,9.0,2.49,0,Back Bay
UberX,9.5,1.23,16,West End
UberX,7.5,1.57,17,Theatre District
Lyft,9.0,1.69,0,West End
Lyft,9.0,0.81,6,West End
UberX,8.5,1.36,0,Haymarket Square
UberX,7.0,1.5,14,Fenway
UberX,7.5,1.23,14,West End
Lyft,10.5,1.73,1,Theatre District
Lyft,13.5,4.61,6,Boston University
UberX,10.5,2.66,1,Fenway
Lyft,11.0,2.68,10,Fenway
Lyft,9.0,1.75,9,Theatre District
Lyft,9.0,2.03,5,Northeastern University
Lyft,7.0,1.33,9,Haymarket Square
Lyft,11.0,2.8,18,Northeastern University
UberX,13.0,4.73,8,Financial District
UberX,9.5,2.27,9,Beacon Hill
UberX,8.5,1.81,3,Theatre District
Lyft,10.5,2.36,19,Haymarket Square
Lyft,7.0,1.25,13,Haymarket Square
Lyft,7.0,0.44,15,Financial District
Lyft,11.0,3.43,22,Financial District
UberX,8.5,2.14,21,West End
UberX,10.0,2.72,0,Fenway
Lyft,7.0,1.22,10,South Station
UberX,7.5,1.25,14,Financial District
UberX,7.5,1.23,12,West End
Lyft,10.5,3.15,23,North Station
UberX,8.0,1.41,20,Back Bay
UberX,7.5,1.36,12,Haymarket Square
Lyft,7.0,0.59,2,Theatre District
Lyft,7.0,0.53,21,Haymarket Square
UberX,12.5,3.44,3,South Station
Lyft,11.0,2.96,23,Boston University
Lyft,7.0,0.76,7,West End
Lyft,7.0,1.01,23,North End
UberX,8.5,1.61,19,Theatre District
UberX,11.5,3.08,18,West End
UberX,14.0,3.79,7,Haymarket Square
Lyft,10.5,2.39,7,Fenway
Lyft,10.5,2.43,19,Beacon Hill
UberX,13.0,1.35,9,Beacon Hill
UberX,8.0,1.35,3,Beacon Hill
UberX,8.5,2.19,1,Beacon Hill
Lyft,10.5,2.47,18,South Station
UberX,8.5,1.25,4,Financial District
UberX,10.5,2.5,10,South Station
UberX,13.0,4.55,2,Northeastern University
UberX,8.5,1.16,19,Haymarket Square
UberX,7.0,0.49,17,Haymarket Square
UberX,13.0,3.05,11,Boston University
Lyft,7.0,0.72,3,North Station
UberX,11.5,2.0,21,Back Bay
Lyft,13.5,2.93,1,North End
UberX,9.0,2.12,17,North Station
UberX,11.5,3.19,18,Boston University
UberX,10.5,3.08,14,West End
Lyft,7.0,0.46,19,Financial District
Lyft,13.5,5.32,14,Financial District
UberX,10.5,1.57,15,North End
UberX,11.0,1.92,2,Beacon Hill
UberX,10.5,1.92,3,Beacon Hill
Lyft,13.5,4.39,6,Fenway
UberX,7.0,0.63,23,South Station
Lyft,7.0,0.42,18,Financial District
UberX,9.5,2.66,11,Fenway
UberX,9.5,2.32,3,Back Bay
UberX,9.5,2.58,7,South Station
UberX,9.0,1.64,5,Northeastern University
UberX,10.5,2.38,12,Fenway
UberX,8.5,1.47,5,Northeastern University
Lyft,10.5,2.05,2,Beacon Hill
UberX,9.5,2.86,8,Northeastern University
UberX,10.5,2.66,7,Theatre District
Lyft,7.0,0.52,0,Haymarket Square
UberX,12.0,3.3,21,North Station
UberX,7.0,1.5,21,Fenway
Lyft,7.0,1.5,16,Beacon Hill
UberX,12.0,3.12,8,West End
UberX,9.5,2.56,0,Beacon Hill
UberX,8.5,0.92,6,North End
UberX,13.0,1.64,14,Northeastern University
UberX,8.5,1.08,6,North Station
UberX,7.5,1.04,12,North End
Lyft,10.5,2.85,14,Northeastern University
Lyft,11.0,2.32,16,Back Bay
UberX,7.0,0.3,6,North End
UberX,7.5,1.59,6,Beacon Hill
UberX,6.5,0.63,19,South Station
Lyft,9.0,1.46,9,Back Bay
Lyft,11.0,3.06,14,West End
UberX,15.0,5.56,16,Financial District
Lyft,9.0,2.37,9,Beacon Hill
UberX,11.5,2.91,11,Theatre District
Lyft,10.5,2.41,15,Northeastern University
Lyft,7.0,1.37,2,Back Bay
Lyft,11.0,2.88,14,West End
UberX,10.5,2.58,10,South Station
UberX,7.0,1.25,12,Financial District
Lyft,11.0,3.25,3,Northeastern University
UberX,8.5,1.5,0,Fenway
Lyft,16.5,2.81,23,Northeastern University
Lyft,16.5,3.16,20,Theatre District
Lyft,7.0,0.73,9,North Station
Lyft,11.0,3.04,21,Back Bay
UberX,9.5,2.48,14,Beacon Hill
Lyft,7.0,1.41,18,Back Bay
UberX,7.5,1.16,8,North End
Lyft,7.0,1.47,7,Fenway
UberX,8.5,2.38,6,South Station
UberX,13.0,4.48,9,Financial District
Lyft,7.0,1.7,13,South Station
UberX,8.5,2.61,12,Northeastern University
Lyft,9.0,1.39,20,Back Bay
UberX,9.0,2.29,7,South Station
UberX,7.0,1.22,13,Back Bay
UberX,15.0,5.56,19,Financial District
UberX,9.5,2.8,15,West End
Lyft,9.0,1.5,17,Back Bay
UberX,9.0,2.79,16,Boston University
Lyft,10.5,1.78,1,Theatre District
Lyft,11.0,1.74,15,North Station
Lyft,10.5,2.34,7,Beacon Hill
Lyft,9.0,2.0,10,Northeastern University
UberX,9.5,1.58,8,South Station
Lyft,11.0,3.05,12,West End
Lyft,7.0,0.74,19,North Station
Lyft,10.5,2.24,19,Back Bay
UberX,16.5,7.34,21,Back Bay
Lyft,10.5,3.18,12,Theatre District
Lyft,13.5,2.35,22,Beacon Hill
Lyft,10.5,2.43,17,Theatre District
Lyft,13.5,4.3,20,Northeastern University
UberX,8.0,1.56,0,Boston University
UberX,7.0,0.92,20,North End
UberX,9.5,1.19,13,North Station
Lyft,11.0,3.26,4,North Station
UberX,8.5,1.64,15,Northeastern University
UberX,11.5,1.89,5,South Station
Lyft,9.0,1.55,12,North End
Lyft,7.0,0.62,2,North Station
Lyft,13.5,2.4,4,South Station
UberX,10.5,3.3,19,Financial District
Lyft,16.5,4.54,17,Financial District
UberX,9.0,1.23,2,Beacon Hill
UberX,7.5,0.72,18,West End
Lyft,11.0,3.28,2,South Station
Lyft,7.0,1.35,15,Back Bay
UberX,9.5,2.36,2,Beacon Hill
Lyft,9.0,2.54,11,South Station
Lyft,7.0,0.99,15,Haymarket Square
UberX,9.5,2.84,23,West End
Lyft,10.5,2.25,19,Back Bay
Lyft,7.0,0.56,8,Haymarket Square
UberX,9.5,2.79,4,Boston University
UberX,10.5,3.37,9,North Station
Lyft,9.0,2.48,2,South Station
UberX,7.0,0.39,13,Financial District
UberX,10.5,2.62,10,Theatre District
UberX,15.0,2.39,2,Fenway
UberX,8.0,1.25,11,Financial District
Lyft,10.5,2.42,16,Beacon Hill
UberX,7.0,1.21,11,Financial District
UberX,11.0,2.58,19,South Station
Lyft,10.5,3.1,16,Theatre District
UberX,11.5,2.98,23,Boston University
UberX,12.0,3.3,9,North Station
Lyft,10.5,3.1,23,West End
UberX,7.0,0.92,8,North End
UberX,8.0,1.64,19,Northeastern University
Lyft,9.0,2.33,14,Beacon Hill
UberX,11.5,2.72,11,Fenway
UberX,9.5,2.19,20,Beacon Hill
UberX,10.5,2.33,15,Back Bay
UberX,12.0,2.8,10,West End
Lyft,11.0,2.44,6,Back Bay
UberX,19.5,4.44,7,Financial District
UberX,7.0,0.39,21,Financial District
Lyft,7.0,1.06,14,North Station
UberX,7.0,1.1,1,Back Bay
UberX,9.5,3.05,5,North Station
UberX,15.0,4.55,11,Northeastern University
UberX,9.5,2.72,7,Fenway
UberX,8.5,0.88,18,West End
Lyft,9.0,2.75,6,Fenway
Lyft,7.0,1.11,15,South Station
UberX,7.0,0.49,4,Haymarket Square
Lyft,13.5,4.59,22,Financial District
Lyft,7.0,0.76,16,West End
UberX,11.5,1.8,8,Theatre District
Lyft,7.0,1.72,0,Theatre District
Lyft,10.5,2.09,15,Theatre District
Lyft,9.0,1.05,11,North Station
UberX,9.0,2.81,9,Northeastern University
UberX,8.5,1.91,20,Northeastern University
Lyft,13.5,4.69,8,Theatre District
Lyft,7.0,1.28,10,Haymarket Square
UberX,10.5,2.56,19,Beacon Hill
Lyft,10.5,3.19,13,Theatre District
Lyft,7.0,0.55,23,Theatre District
UberX,26.5,3.23,17,Northeastern University
Lyft,9.0,2.33,1,South Station
UberX,9.5,2.66,17,Fenway
UberX,7.0,0.49,1,Haymarket Square
UberX,8.0,1.25,6,Financial District
Lyft,9.0,1.54,4,Beacon Hill
Lyft,9.0,2.07,10,Beacon Hill
UberX,9.5,1.08,0,North Station
Lyft,11.0,2.9,15,Theatre District
Lyft,10.5,2.73,20,Fenway
UberX,9.5,1.1,23,Back Bay
Lyft,11.0,3.22,19,Fenway
UberX,11.5,3.3,11,Financial District
Lyft,9.0,2.63,23,Fenway
Lyft,7.0,1.07,23,Haymarket Square
Lyft,10.5,2.58,1,South Station
Lyft,10.5,2.75,5,Fenway
Lyft,7.0,0.56,17,South Station
Lyft,13.5,4.61,1,Boston University
UberX,10.5,2.98,17,Boston University
Lyft,16.5,2.37,20,Beacon Hill
Lyft,7.0,1.36,0,Beacon Hill
Lyft,11.0,3.21,0,North Station
Lyft,10.5,3.17,16,North Station
UberX,10.5,2.62,1,Theatre District
UberX,10.5,2.27,15,Beacon Hill
UberX,8.0,1.25,17,Financial District
Lyft,9.0,2.09,8,South Station
Lyft,10.5,2.37,3,Fenway
Lyft,9.0,2.39,15,Fenway
Lyft,9.0,2.1,21,Beacon Hill
Lyft,7.0,1.25,20,Haymarket Square
Lyft,7.0,1.41,8,Haymarket Square
UberX,11.5,3.08,6,West End
UberX,8.5,2.46,12,Fenway
Lyft,13.5,3.1,18,West End
UberX,21.5,2.57,4,Northeastern University
Lyft,11.0,3.5,20,Boston University
Lyft,10.5,2.5,20,Fenway
Lyft,7.0,2.45,6,Northeastern University
Lyft,7.0,1.38,17,Beacon Hill
UberX,9.5,1.61,12,Theatre District
Lyft,7.0,1.0,23,Financial District
UberX,9.5,2.8,0,West End
UberX,11.5,3.05,23,North Station
Lyft,11.0,3.17,14,Northeastern University
UberX,7.5,1.11,5,North End
Lyft,7.0,1.52,22,West End
Lyft,7.0,1.4,11,Haymarket Square
Lyft,11.0,1.06,1,Back Bay
Lyft,10.5,2.15,18,Theatre District
Lyft,13.5,1.46,21,Beacon Hill
UberX,9.5,2.73,12,Northeastern University
Lyft,7.0,1.25,2,North End
UberX,7.0,1.16,17,Haymarket Square
UberX,10.5,2.84,3,West End
Lyft,7.0,1.07,22,West End
Lyft,7.0,1.16,1,South Station
Lyft,9.0,2.15,3,Theatre District
Lyft,7.0,0.76,12,North Station
UberX,9.5,1.08,20,Back Bay
Lyft,9.0,1.53,8,North End
UberX,8.0,1.44,20,Back Bay
Lyft,7.0,0.62,0,Theatre District
Lyft,11.0,3.15,0,North Station
UberX,11.5,2.15,20,Haymarket Square
Lyft,13.5,3.42,17,Boston University
Lyft,7.0,1.05,6,West End
UberX,7.0,1.5,1,Fenway
Lyft,9.0,2.36,9,Haymarket Square
UberX,12.0,1.41,20,North End
UberX,8.0,1.64,12,Northeastern University
Lyft,10.5,2.99,5,Boston University
Lyft,7.0,0.64,17,Theatre District
Lyft,10.5,2.17,18,Theatre District
Lyft,7.0,0.57,3,South Station
Lyft,9.0,2.34,1,Beacon Hill
Lyft,7.0,1.07,8,Back Bay
UberX,9.5,2.66,4,Theatre District
UberX,7.0,0.92,6,Financial District
Lyft,9.0,1.73,3,Theatre District
UberX,10.5,3.07,3,Fenway
Lyft,10.5,2.04,7,Northeastern University
UberX,11.5,2.62,21,Theatre District
Lyft,7.0,1.02,4,Haymarket Square
Lyft,10.5,3.14,6,North Station
UberX,11.5,3.16,11,Back Bay
UberX,14.0,2.62,22,Theatre District
Lyft,7.0,1.23,15,Financial District
UberX,7.5,0.68,13,Haymarket Square
Lyft,13.5,3.59,21,Northeastern University
Lyft,10.5,3.45,2,Boston University
Lyft,13.5,1.69,2,Theatre District
UberX,10.5,2.66,0,Theatre District
UberX,7.0,1.03,3,North End
Lyft,9.0,1.73,4,North End
Lyft,10.5,2.82,4,Fenway
Lyft,9.0,2.53,22,Beacon Hill
Lyft,7.0,1.22,22,Haymarket Square
Lyft,11.0,2.85,6,Fenway
Lyft,7.0,1.01,15,Haymarket Square
UberX,10.5,2.84,3,West End
Lyft,9.0,1.52,12,North End
Lyft,7.0,0.65,11,South Station
UberX,9.5,2.84,14,West End
UberX,12.5,1.8,15,Theatre District
Lyft,16.5,4.32,16,Fenway
Lyft,10.5,3.03,20,Back Bay
Lyft,13.5,4.15,4,Northeastern University
UberX,8.5,2.86,8,Northeastern University
UberX,13.5,4.55,1,Northeastern University
UberX,8.0,1.34,15,Back Bay
UberX,10.5,3.05,7,North Station
Lyft,11.0,2.42,20,South Station
UberX,12.5,2.73,11,North End
Lyft,7.0,2.01,23,Haymarket Square
Lyft,10.5,2.85,0,Fenway
UberX,9.5,2.86,2,Northeastern University
UberX,9.5,2.29,4,South Station
UberX,7.5,0.61,1,Haymarket Square
Lyft,9.0,2.38,19,Beacon Hill
UberX,9.0,2.84,16,West End
UberX,9.0,2.21,15,Fenway
Lyft,7.0,1.15,9,North End
Lyft,13.5,3.18,21,Financial District
UberX,10.5,2.01,7,North End
Lyft,13.5,5.4,10,Financial District
Lyft,7.0,1.12,2,North End
Lyft,7.0,1.24,21,Financial District
UberX,8.0,1.04,13,North End
Lyft,7.0,0.56,15,South Station
Lyft,10.5,3.02,2,West End
Lyft,11.0,3.19,1,Fenway
UberX,11.5,2.56,2,Beacon Hill
Lyft,13.5,5.41,20,Financial District
UberX,13.0,1.61,19,Theatre District
UberX,9.5,2.72,5,Fenway
Lyft,13.5,2.36,14,South Station
UberX,12.0,4.57,16,Northeastern University
UberX,7.5,1.39,21,Back Bay
Lyft,9.0,1.21,17,Haymarket Square
Lyft,7.0,1.23,22,North End
UberX,10.5,1.64,4,Northeastern University
UberX,7.5,1.5,10,Fenway
UberX,13.5,4.55,15,Northeastern University
UberX,9.5,3.39,1,Boston University
Lyft,10.5,3.22,15,Fenway
Lyft,7.0,1.46,19,Back Bay
UberX,11.0,2.8,9,West End
UberX,8.0,1.34,20,Back Bay
Lyft,7.0,1.33,22,Haymarket Square
UberX,9.5,1.41,3,North End
UberX,8.5,1.4,4,Back Bay
UberX,7.0,0.92,12,North End
UberX,8.5,1.5,7,Fenway
UberX,11.0,3.55,11,Fenway
Lyft,16.5,2.89,18,Northeastern University
Lyft,10.5,2.34,14,South Station
Lyft,11.0,2.96,17,North End
Lyft,9.0,1.3,17,Beacon Hill
UberX,15.0,2.73,2,North End
Lyft,16.5,3.75,0,Boston University
UberX,10.5,3.07,21,Fenway
UberX,6.0,0.54,18,South Station
UberX,11.5,4.44,9,Financial District
Lyft,11.0,2.7,13,Fenway
UberX,10.5,3.05,21,North Station
UberX,10.5,1.9,15,North End
UberX,12.0,2.74,13,South Station
Lyft,10.5,3.31,21,North Station
Lyft,7.0,1.45,5,Northeastern University
Lyft,9.0,2.36,8,Haymarket Square
Lyft,7.0,1.25,19,Haymarket Square
Lyft,9.0,2.72,14,Boston University
UberX,9.5,2.87,4,Northeastern University
UberX,7.5,0.91,19,Haymarket Square
UberX,7.0,0.56,2,North Station
UberX,8.5,0.73,13,West End
Lyft,13.5,5.38,11,Financial District
Lyft,5.0,0.57,9,South Station
UberX,7.0,0.63,10,South Station
UberX,10.5,2.8,11,West End
Lyft,5.0,1.53,17,Boston University
Lyft,11.0,3.42,13,Financial District
UberX,8.5,1.41,11,North End
Lyft,13.5,4.68,22,Boston University
Lyft,7.0,0.5,15,Financial District
Lyft,7.0,1.53,6,Boston University
Lyft,10.5,3.2,21,North Station
Lyft,7.0,1.39,6,Beacon Hill
Lyft,10.5,3.36,22,North Station
Lyft,9.0,0.48,9,Financial District
UberX,7.0,1.22,14,Back Bay
Lyft,9.0,1.78,4,Theatre District
Lyft,9.0,2.05,9,Northeastern University
UberX,7.5,1.34,19,Back Bay
Lyft,10.5,3.14,5,North Station
Lyft,11.0,2.51,8,Beacon Hill
UberX,9.5,1.78,14,Haymarket Square
Lyft,7.0,1.02,13,Financial District
UberX,7.0,1.39,17,Fenway
UberX,8.0,1.64,2,Northeastern University
Lyft,9.0,1.17,4,Financial District
Lyft,13.5,3.23,21,Fenway
Lyft,10.5,2.35,15,Beacon Hill
UberX,8.0,0.91,12,Haymarket Square
UberX,11.5,3.05,12,North Station
UberX,7.0,0.94,23,North Station
Lyft,10.5,2.43,13,Fenway
UberX,7.0,1.5,12,Fenway
UberX,7.5,2.14,9,West End
UberX,10.5,3.53,12,South Station
UberX,12.0,3.08,15,West End
Lyft,10.5,2.68,0,Boston University
Lyft,13.5,4.5,18,Financial District
UberX,7.5,2.14,7,West End
Lyft,9.0,2.73,19,Boston University
UberX,8.5,2.48,0,Beacon Hill
UberX,10.5,3.05,10,North Station
UberX,7.0,1.08,15,North Station
Lyft,10.5,2.37,13,Fenway
Lyft,7.0,0.65,11,Theatre District
Lyft,9.0,1.04,19,North Station
Lyft,7.0,1.19,23,South Station
UberX,11.5,2.33,13,Back Bay
UberX,10.5,3.23,4,Boston University
UberX,7.0,0.49,10,Haymarket Square
Lyft,13.5,4.46,3,Fenway
Lyft,13.5,5.35,12,Financial District
UberX,8.5,1.57,4,Theatre District
UberX,8.0,1.45,14,Back Bay
UberX,8.5,1.23,23,West End
UberX,8.5,1.91,20,Northeastern University
UberX,7.5,1.41,15,Back Bay
Lyft,7.0,1.55,19,Fenway
Lyft,10.5,3.19,22,North Station
UberX,10.5,3.06,15,North Station
Lyft,7.0,1.44,21,Back Bay
UberX,12.5,0.61,4,Haymarket Square
Lyft,7.0,1.38,3,Beacon Hill
Lyft,7.0,1.52,1,Boston University
Lyft,9.0,2.37,4,Beacon Hill
UberX,9.5,3.01,22,North Station
Lyft,10.5,2.96,16,Boston University
UberX,8.5,1.47,21,Beacon Hill
UberX,14.0,4.72,13,Boston University
Lyft,10.5,2.82,1,Fenway
UberX,7.0,1.08,8,North Station
UberX,7.0,1.23,1,Financial District
UberX,11.0,3.05,2,Boston University
Lyft,7.0,1.08,6,North Station
UberX,9.5,2.58,5,South Station
Lyft,10.5,2.91,12,North End
UberX,9.0,2.19,15,Beacon Hill
UberX,8.0,1.56,2,Boston University
Lyft,11.0,3.32,3,North Station
UberX,10.5,3.05,1,North Station
UberX,8.5,1.34,9,Back Bay
Lyft,10.5,1.19,5,North End
UberX,16.0,5.56,11,Financial District
UberX,8.5,1.61,0,Theatre District
Lyft,13.5,5.31,17,Financial District
Lyft,9.0,2.22,17,Beacon Hill
Lyft,9.0,2.4,13,Beacon Hill
Lyft,7.0,1.39,9,Back Bay
Lyft,7.0,1.43,16,Back Bay
UberX,7.0,0.49,15,Haymarket Square
UberX,7.0,0.55,5,Theatre District
Lyft,7.0,1.35,6,Back Bay
Lyft,11.0,3.3,3,South Station
Lyft,7.0,0.71,3,Theatre District
UberX,7.0,0.92,12,North End
Lyft,9.0,1.45,18,Back Bay
UberX,7.5,1.23,2,West End
UberX,10.5,3.22,6,Northeastern University
Lyft,11.0,3.14,14,North Station
Lyft,9.0,1.56,9,Beacon Hill
Lyft,10.5,2.96,17,West End
Lyft,9.0,2.32,13,South Station
Lyft,11.0,2.39,15,South Station
Lyft,9.0,1.21,5,Haymarket Square
Lyft,10.5,1.73,3,Theatre District
UberX,8.0,0.49,8,Haymarket Square
UberX,7.0,0.55,4,Theatre District
UberX,16.0,7.46,12,Financial District
Lyft,9.0,1.72,1,South Station
UberX,7.5,1.56,11,Boston University
UberX,9.5,3.22,7,Northeastern University
Lyft,9.0,2.93,1,West End
UberX,7.5,0.62,4,Haymarket Square
Lyft,10.5,3.11,17,Back Bay
UberX,7.5,0.62,17,Haymarket Square
UberX,11.5,2.66,8,Fenway
Lyft,10.5,1.93,15,South Station
